phi0426.phi001 | Pseudo-Cesare | La guerra africana | De bello Africo
tlg0284.tlg020 | Elio Aristide | Monodia per Smirne | Μονῳδία ἐπὶ Σμύρνῃ
tlg0284.tlg021 | Elio Aristide | Palinodia per Smirne | Παλινῳδία ἐπὶ Σμύρνῃ καὶ τῷ ταύτης ἀνοικισμῷ
tlg0284.tlg022 | Elio Aristide | Secondo discorso smirneo | Προσφωνητικὸς Σμυρναϊκός
tlg0284.tlg023 | Elio Aristide | Discorso sacro I | Ἱεροὶ λόγοι πρῶτος
tlg0284.tlg024 | Elio Aristide | Discorso sacro II | Ἱεροὶ λόγοι δεύτερος
tlg0284.tlg025 | Elio Aristide | Discorso sacro III | Ἱεροὶ λόγοι τρίτος
tlg0284.tlg026 | Elio Aristide | Discorso sacro IV | Ἱεροὶ λόγοι τέταρτος
tlg0284.tlg027 | Elio Aristide | Discorso sacro V | Ἱεροὶ λόγοι πέμπτος
tlg0284.tlg028 | Elio Aristide | Discorso sacro VI | Ἱεροὶ λόγοι ἕκτος
tlg0284.tlg029 | Elio Aristide | Sull'invio di rinforzi in Sicilia | Περὶ τοῦ πέμπειν βοήθειαν τοῖς ἐν Σικελίᾳ
tlg0284.tlg030 | Elio Aristide | Contro l'invio di rinforzi in Sicilia | Εἰς τὸ ἐναντίον
tlg0284.tlg031 | Elio Aristide | Sulla pace con gli Spartani | Ὑπὲρ τῆς πρὸς Λακεδαιμονίους εἰρήνης
tlg0284.tlg032 | Elio Aristide | Sulla pace con gli Ateniesi | Ὑπὲρ τῆς πρὸς Ἀθηναίους εἰρήνης
tlg0284.tlg033 | Elio Aristide | Leuttrico I (in favore degli Spartani) | Λευκτρικὸς Α΄ (ὑπὲρ Λακεδαιμονίων πρῶτος)
tlg0284.tlg034 | Elio Aristide | Leuttrico II (in favore dei Tebani) | Λευκτρικὸς Β΄ (ὑπὲρ Θηβαίων πρῶτος)
tlg0284.tlg035 | Elio Aristide | Leuttrico III (in favore degli Spartani) | Λευκτρικὸς Γ΄ (ὑπὲρ Λακεδαιμονίων δεύτερος)
tlg0284.tlg036 | Elio Aristide | Leuttrico IV (in favore dei Tebani) | Λευκτρικὸς Δ΄ (ὑπὲρ Θηβαίων δεύτερος)
tlg0284.tlg037 | Elio Aristide | Leuttrico V (per la neutralità) | Λευκτρικὸς Ε΄ (ὑπὲρ μηδετέροις βοηθεῖν)
tlg0284.tlg038 | Elio Aristide | Discorso sull'alleanza I | Συμμαχικὸς Α΄
tlg0284.tlg039 | Elio Aristide | Discorso sull'alleanza II | Συμμαχικὸς Β΄ (πρὸς Θηβαίους περὶ τῆς συμμαχίας)
tlg0284.tlg040 | Elio Aristide | Sull'abrogazione della commedia | Συμβουλευτικὸς περὶ τοῦ μὴ δεῖν κωμῳδεῖν
tlg0284.tlg041 | Elio Aristide | Lettera su Smirne | Ἐπιστολὴ περὶ Σμύρνης
tlg0284.tlg042 | Elio Aristide | Alle città per la concordia | Περὶ ὁμονοίας ταῖς πόλεσιν
tlg0284.tlg043 | Elio Aristide | Rodiaco | Ῥοδιακός
tlg0284.tlg044 | Elio Aristide | Ai Rodii per la concordia | Ῥοδίοις περὶ ὁμονοίας
tlg0284.tlg045 | Elio Aristide | In difesa della retorica | Πρὸς Πλάτωνα περὶ ῥητορικῆς
tlg0284.tlg046 | Elio Aristide | In difesa dei quattro | Πρὸς Πλάτωνα ὑπὲρ τῶν τεττάρων
tlg0284.tlg047 | Elio Aristide | Epistola a Capitone | Πρὸς Καπίτωνα
tlg0284.tlg048 | Elio Aristide | Discorso egizio | Αἰγύπτιος
tlg0284.tlg049 | Elio Aristide | Sull'affermazione in margine | Περὶ τοῦ παραφθέγματος
tlg0284.tlg050 | Elio Aristide | Contro i profanatori | Κατὰ τῶν ἐξορχουμένων
tlg0284.tlg051 | Elio Aristide | A coloro che lo accusano di non declamare | Πρὸς τοὺς αἰτιωμένους ὅτι μὴ μελετῴη
tlg0284.tlg052 | Elio Aristide | Ambasceria ad Achille | Πρεσβευτικὸς πρὸς Ἀχιλλέα
tlg0284.tlg053 | Elio Aristide | Contro Demostene, sull'immunità | Πρὸς Δημοσθένη περὶ ἀτελείας
tlg0284.tlg054 | Elio Aristide | Contro Leptine, in difesa dell'immunità | Πρὸς Λεπτίνην ὑπὲρ ἀτελείας
tlg0284.tlg055 | Elio Aristide | Panegirico per l'acqua di Pergamo | Πανηγυρικὸς ἐπὶ τῷ ὕδατι ἐν Περγάμῳ
tlg0284.tlg056 | Elio Aristide | Sul discorso politico | Περὶ πολιτικοῦ λόγου
tlg0341.tlg002 | Licofrone | Alessandra | Ἀλεξάνδρα
tlg0363.tlg007 | Tolomeo | Tetrabiblos | Τετράβιβλος
tlg0385.tlg001 | Cassio Dione | Storia romana | Ῥωμαϊκὴ ἱστορία
tlg0526.tlg001 | Flavio Giuseppe | Antichità giudaiche | Ἰουδαϊκὴ ἀρχαιολογία
tlg0526.tlg002 | Flavio Giuseppe | Autobiografia | Ἰωσήπου βίος
tlg0526.tlg003 | Flavio Giuseppe | Contro Apione | περὶ ἀρχαιότητος Ἰουδαίων
tlg0526.tlg004 | Flavio Giuseppe | La guerra giudaica | Ἱστορία Ἰουδαϊκοῦ πολέμου πρὸς Ῥωμαίους
tlg0532.tlg001 | Achille Tazio | Leucippe e Clitofonte | τὰ κατὰ Λευκίππην καὶ Κλειτοφῶντα
tlg0535.tlg001 | Demade | Intorno ai dodici anni | Ὑπὲρ τῆς δωδεκαετίας
tlg0545.tlg001 | Eliano | La natura degli animali | Περὶ ζῴων ἰδιότητος
tlg0545.tlg002 | Eliano | Storie varie | Ποικίλη ἱστορία
tlg0545.tlg003 | Eliano | Lettere rustiche | ἐκ τῶν Αἰλιανοῦ ἀγροικικῶν ἐπιστολῶν
tlg0548.tlg001 | Apollodoro | Biblioteca | Βιβλιοθήκη
tlg0548.tlg002 | Apollodoro | Epitome | Ἐπιτομή
tlg0551.tlg002 | Appiano | Storia dell'età regia | Βασιλική
tlg0551.tlg003 | Appiano | Storia italica | Ἰταλική
tlg0551.tlg004 | Appiano | Le guerre sannitiche | Σαυνιτική
tlg0551.tlg005 | Appiano | Storia celtica | Κελτική
tlg0551.tlg006 | Appiano | Storia siciliana e isolana | Σικελικὴ καὶ Νησιωτική
tlg0551.tlg007 | Appiano | La guerra iberica | Ἰβηρική
tlg0551.tlg008 | Appiano | La guerra annibalica | Ἀννιβαϊκή
tlg0551.tlg009 | Appiano | La guerra libica | Λιβυκή
tlg0551.tlg010 | Appiano | Storia numidica | Νομαδική
tlg0551.tlg011 | Appiano | Le guerre macedoniche | Μακεδονική
tlg0551.tlg012 | Appiano | La guerra illirica | Ἰλλυρική
tlg0551.tlg013 | Appiano | La guerra siriaca | Συριακή
tlg0551.tlg014 | Appiano | La guerra mitridatica | Μιθριδάτειος
tlg0551.tlg017 | Appiano | Le guerre civili | Ἐμφύλια
tlg0554.tlg001 | Caritone | Le avventure di Cherea e Calliroe | Τὰ περὶ Χαιρέαν καὶ Καλλιρρόην
tlg0555.tlg001 | Clemente Alessandrino | Protrettico ai Greci | Προτρεπτικὸς πρὸς Ἕλληνας
tlg0555.tlg004 | Clemente Alessandrino | Stromati | Στρώματα
tlg0555.tlg006 | Clemente Alessandrino | Quale ricco si salverà? | τίς ὁ σωζόμενος πλούσιος
tlg0556.tlg001 | Asclepiodoto | Trattato di tattica | Τέχνη τακτική
tlg0557.tlg004 | Epitteto | Gnomologium Epicteteum (e Stobaei libris 1-2) | 
tlg0557.tlg005 | Epitteto | Gnomologium Epicteteum (e Stobaei libris 3-4) | 
tlg0560.tlg001 | Longino | Sul sublime | Περὶ ὕψους
tlg0612.tlg001 | Dione Crisostomo | Orazioni | Λόγοι
tlg0613.tlg001 | Demetrio Falereo | Sullo stile | Περὶ ἑρμηνείας
tlg0638.tlg001 | Filostrato | Vita di Apollonio di Tiana | Τὰ ἐς τὸν Τυανέα Ἀπολλώνιον
tlg0638.tlg003 | Filostrato | Vite dei sofisti | Βίοι Σοφιστῶν
tlg0638.tlg004 | Filostrato | Eroico | Ἡρωικός
tlg0638.tlg005 | Filostrato | Nerone | Νέρων
tlg0638.tlg006 | Filostrato | Lettere · Dialexeis | Ἐπιστολαί. Διαλέξεις.
tlg0638.tlg007 | Filostrato | Sulla ginnastica | Γυμναστικός
tlg0641.tlg001 | Senofonte Efesio | Racconti efesii | Τὰ κατὰ Ἀνθίαν καὶ Ἁβροκόμην
tlg0647.tlg001 | Trifiodoro | La presa di Ilio | Ἅλωσις Ἰλίου
tlg0648.tlg001 | Onasandro | Il generale | Στρατηγικός
tlg0652.tlg001 | Filostrato minore | Immagini | Εἰκόνες
tlg0653.tlg001 | Arato | Fenomeni | Φαινόμενα
tlg0655.tlg001 | Partenio | Pene d'amore | Ἐρωτικὰ Παθήματα
tlg0719.tlg001 | Areteo | Delle cause e dei segni delle malattie acute | Περὶ αἰτίων καὶ σημείων ὀξέων παθῶν
tlg0719.tlg002 | Areteo | Sulle cause e i segni delle malattie croniche | Περὶ αἰτίων καὶ σημείων χρονίων παθῶν
tlg0719.tlg003 | Areteo | La cura delle malattie acute | Ὀξέων νούσων θεραπευτικόν
tlg0719.tlg004 | Areteo | La cura delle malattie croniche | Χρονίων νούσων θεραπευτικόν
tlg1216.tlg001 | Lettera di Barnaba | Lettera di Barnaba | Βαρνάβα ἐπιστολή
tlg1389.tlg001 | Arpocrazione | Lessico dei dieci oratori | Λέξεις τῶν δέκα ῥητόρων
tlg1600.tlg001 | Filostrato sofista | Immagini | Εἰκόνες
tlg1799.tlg001 | Euclide | Elementi | Στοιχεῖα
tlg2018.tlg002 | Eusebio di Cesarea | Storia ecclesiastica | Ἐκκλησιαστικὴ ἱστορία
tlg2040.tlg002 | Basilio di Cesarea | Discorso ai giovani | Πρὸς τοὺς νέους, ὅπως ἂν ἐξ Ἑλληνικῶν ὠφελοῖντο λόγων
tlg2040.tlg004 | Basilio di Cesarea | Lettere | Ἐπιστολαί
tlg2045.tlg001 | Nonno di Panopoli | Le Dionisiache | Διονυσιακά
tlg2046.tlg001 | Quinto Smirneo | Posthomerica | Τὰ μεθ’ Ὅμηρον
tlg2934.tlg066 | Giovanni Damasceno | Barlaam e Ioasaf | Βαρλαὰμ καὶ Ἰωάσαφ
tlg3135.tlg001 | Zonara | Epitome delle storie | Ἐπιτομὴ Ἱστοριῶν
tlg4029.tlg001 | Procopio | Le guerre | Ὑπὲρ τῶν Πολέμων Λόγοι
tlg4029.tlg002 | Procopio | Storia segreta | Ἀνέκδοτα
tlg4036.tlg023 | Proclo | Crestomazia | Χρηστομάθεια γραμματική
tlg4081.tlg001 | Colluto | Il ratto di Elena | Ἁρπαγὴ Ἑλένης
tlg4091.tlg001 | Callistrato | Descrizioni | Ἐκφράσεις
tlg7000.tlg001 | Antologia Palatina | Antologia Palatina | Παλατινὴ Ἀνθολογία
